roof_norm,dist_bin,fg_pct
indoor,<30,0.9694915254237289
indoor,30-39,0.9147727272727273
indoor,40-49,0.7924528301886793
indoor,50+,0.6495327102803738
outdoor,<30,0.9782608695652174
outdoor,30-39,0.9190140845070423
outdoor,40-49,0.7626016260162601
outdoor,50+,0.6219512195121951
